symme-unsymme optimized array
5.000
11
0
Type of measurement (0=app. resistivity,1=resistance)
0
4992
1
0
4      0.000,     0.000       5.000,     0.000      10.000,     0.000      15.000,     0.000   570.4327
4      0.000,     0.000       5.000,     0.000      10.000,     0.000      20.000,     0.000   560.8091
4      0.000,     0.000       5.000,     0.000      15.000,     0.000      20.000,     0.000   521.9420
4      0.000,     0.000       5.000,     0.000      15.000,     0.000      25.000,     0.000   512.2303
4      0.000,     0.000       5.000,     0.000      15.000,     0.000      30.000,     0.000   505.5589
4      0.000,     0.000       5.000,     0.000      20.000,     0.000      25.000,     0.000   487.5199
4      0.000,     0.000       5.000,     0.000      20.000,     0.000      30.000,     0.000   478.6504
4      0.000,     0.000       5.000,     0.000      20.000,     0.000      35.000,     0.000   474.0806
4      0.000,     0.000       5.000,     0.000      20.000,     0.000      40.000,     0.000   470.0883
4      0.000,     0.000       5.000,     0.000      25.000,     0.000      30.000,     0.000   461.4122
4      0.000,     0.000       5.000,     0.000      25.000,     0.000      35.000,     0.000   455.5625
4      0.000,     0.000       5.000,     0.000      25.000,     0.000      40.000,     0.000   452.4908
4      0.000,     0.000       5.000,     0.000      25.000,     0.000      45.000,     0.000   442.1420
4      0.000,     0.000       5.000,     0.000      30.000,     0.000      35.000,     0.000   451.4807
4      0.000,     0.000       5.000,     0.000      30.000,     0.000      40.000,     0.000   445.1318
4      0.000,     0.000       5.000,     0.000      30.000,     0.000      45.000,     0.000   425.8966
4      0.000,     0.000       5.000,     0.000      35.000,     0.000      40.000,     0.000   439.5694
4      0.000,     0.000       5.000,     0.000      35.000,     0.000      45.000,     0.000   404.3003
4      0.000,     0.000       5.000,     0.000      35.000,     0.000      50.000,     0.000   379.6462
4      0.000,     0.000       5.000,     0.000      40.000,     0.000      45.000,     0.000   357.9423
4      0.000,     0.000       5.000,     0.000      40.000,     0.000      50.000,     0.000   333.1111
4      0.000,     0.000       5.000,     0.000      40.000,     0.000      55.000,     0.000   325.7733
4      0.000,     0.000       5.000,     0.000      45.000,     0.000      50.000,     0.000   294.0631
4      0.000,     0.000       5.000,     0.000      45.000,     0.000      55.000,     0.000   297.6928
4      0.000,     0.000       5.000,     0.000      45.000,     0.000      60.000,     0.000   317.4086
4      0.000,     0.000       5.000,     0.000      45.000,     0.000      75.000,     0.000   335.2768
4      0.000,     0.000       5.000,     0.000      50.000,     0.000      55.000,     0.000   312.6037
4      0.000,     0.000       5.000,     0.000      50.000,     0.000      60.000,     0.000   322.1580
4      0.000,     0.000       5.000,     0.000      50.000,     0.000      65.000,     0.000   338.9136
4      0.000,     0.000       5.000,     0.000      50.000,     0.000      80.000,     0.000   354.7172
4      0.000,     0.000       5.000,     0.000      55.000,     0.000      60.000,     0.000   355.2946
4      0.000,     0.000       5.000,     0.000      55.000,     0.000      65.000,     0.000   361.7773
4      0.000,     0.000       5.000,     0.000      55.000,     0.000      70.000,     0.000   359.3090
4      0.000,     0.000       5.000,     0.000      55.000,     0.000      80.000,     0.000   373.2497
4      0.000,     0.000       5.000,     0.000      60.000,     0.000      70.000,     0.000   375.8547
4      0.000,     0.000       5.000,     0.000      60.000,     0.000      75.000,     0.000   382.8613
4      0.000,     0.000       5.000,     0.000      60.000,     0.000      85.000,     0.000   387.9786
4      0.000,     0.000       5.000,     0.000      65.000,     0.000      75.000,     0.000   398.7792
4      0.000,     0.000       5.000,     0.000      65.000,     0.000      80.000,     0.000   380.5074
4      0.000,     0.000       5.000,     0.000      65.000,     0.000      90.000,     0.000   382.5657
4      0.000,     0.000       5.000,     0.000      70.000,     0.000      85.000,     0.000   405.0930
4      0.000,     0.000       5.000,     0.000      75.000,     0.000      95.000,     0.000   372.7053
4      0.000,     0.000       5.000,     0.000      80.000,     0.000     110.000,     0.000   357.2246
4      0.000,     0.000       5.000,     0.000      80.000,     0.000     100.000,     0.000   362.6759
4      0.000,     0.000       5.000,     0.000      85.000,     0.000     115.000,     0.000   363.0677
4      0.000,     0.000       5.000,     0.000      90.000,     0.000     130.000,     0.000   341.1079
4      0.000,     0.000       5.000,     0.000      90.000,     0.000     125.000,     0.000   332.2111
4      0.000,     0.000       5.000,     0.000     105.000,     0.000     175.000,     0.000   283.4564
4      0.000,     0.000       5.000,     0.000     105.000,     0.000     180.000,     0.000   275.9007
4      0.000,     0.000       5.000,     0.000     110.000,     0.000     200.000,     0.000   270.7296
