48_Symme_flat_confi_optim
5.000
11
0
Type of measurement (0=app. resistivity,1=resistance)
0
4092
1
0
4      0.000,     0.000       5.000,     0.000      10.000,     0.000      15.000,     0.000    96.8720
4      0.000,     0.000       5.000,     0.000      15.000,     0.000      20.000,     0.000   100.6548
4      0.000,     0.000       5.000,     0.000      20.000,     0.000      25.000,     0.000   109.6484
4      0.000,     0.000       5.000,     0.000      25.000,     0.000      30.000,     0.000   119.5700
4      0.000,     0.000       5.000,     0.000      30.000,     0.000      35.000,     0.000   136.4816
4      0.000,     0.000       5.000,     0.000      35.000,     0.000      40.000,     0.000   168.4579
4      0.000,     0.000       5.000,     0.000      40.000,     0.000      45.000,     0.000   188.2881
4      0.000,     0.000       5.000,     0.000      45.000,     0.000      50.000,     0.000   179.9211
4      0.000,     0.000       5.000,     0.000      50.000,     0.000      55.000,     0.000   233.2524
4      0.000,     0.000       5.000,     0.000      55.000,     0.000      60.000,     0.000   249.1968
4      0.000,     0.000      10.000,     0.000      85.000,     0.000      95.000,     0.000   320.7666
4      0.000,     0.000      10.000,     0.000      75.000,     0.000      85.000,     0.000   313.6885
4      0.000,     0.000      10.000,     0.000      70.000,     0.000      80.000,     0.000   286.0117
4      0.000,     0.000      10.000,     0.000      65.000,     0.000      75.000,     0.000   260.6684
4      0.000,     0.000      10.000,     0.000      80.000,     0.000      90.000,     0.000   343.8712
4      0.000,     0.000      10.000,     0.000      60.000,     0.000      70.000,     0.000   252.0977
4      0.000,     0.000      10.000,     0.000      55.000,     0.000      65.000,     0.000   241.5724
4      0.000,     0.000      10.000,     0.000      30.000,     0.000      40.000,     0.000   144.1240
4      0.000,     0.000      10.000,     0.000      35.000,     0.000      45.000,     0.000   153.4595
4      0.000,     0.000      10.000,     0.000      40.000,     0.000      50.000,     0.000   173.9833
4      0.000,     0.000      10.000,     0.000      45.000,     0.000      55.000,     0.000   193.2108
4      0.000,     0.000      10.000,     0.000      25.000,     0.000      35.000,     0.000   118.1383
4      0.000,     0.000      10.000,     0.000      50.000,     0.000      60.000,     0.000   224.1150
4      0.000,     0.000      10.000,     0.000      20.000,     0.000      30.000,     0.000    98.4230
4      0.000,     0.000      10.000,     0.000      15.000,     0.000      25.000,     0.000   101.0761
4      0.000,     0.000      15.000,     0.000      95.000,     0.000     110.000,     0.000   328.9148
4      0.000,     0.000      15.000,     0.000      90.000,     0.000     105.000,     0.000   384.7546
4      0.000,     0.000      15.000,     0.000     100.000,     0.000     115.000,     0.000   400.3437
4      0.000,     0.000      15.000,     0.000       5.000,     0.000      10.000,     0.000   108.1342
4      0.000,     0.000      15.000,     0.000      85.000,     0.000     100.000,     0.000   356.2705
4      0.000,     0.000      15.000,     0.000     110.000,     0.000     125.000,     0.000   400.5698
4      0.000,     0.000      15.000,     0.000     105.000,     0.000     120.000,     0.000   390.4896
4      0.000,     0.000      15.000,     0.000      70.000,     0.000      85.000,     0.000   286.1894
4      0.000,     0.000      15.000,     0.000      75.000,     0.000      90.000,     0.000   320.2413
4      0.000,     0.000      15.000,     0.000      80.000,     0.000      95.000,     0.000   328.9791
4      0.000,     0.000      15.000,     0.000      65.000,     0.000      80.000,     0.000   286.3966
4      0.000,     0.000      15.000,     0.000      60.000,     0.000      75.000,     0.000   254.5197
4      0.000,     0.000      15.000,     0.000      55.000,     0.000      70.000,     0.000   236.1552
4      0.000,     0.000      15.000,     0.000      45.000,     0.000      60.000,     0.000   206.2058
4      0.000,     0.000      15.000,     0.000      50.000,     0.000      65.000,     0.000   230.3439
4      0.000,     0.000      15.000,     0.000      40.000,     0.000      55.000,     0.000   174.5002
4      0.000,     0.000      15.000,     0.000      35.000,     0.000      50.000,     0.000   167.2132
4      0.000,     0.000      15.000,     0.000      30.000,     0.000      45.000,     0.000   139.3693
4      0.000,     0.000      15.000,     0.000      25.000,     0.000      40.000,     0.000   112.6583
